docket,amicus,argDate,argMonth,argYear,caseName,cutoffs_ALL,cutoffs_BREYER,cutoffs_GINSBURG,cutoffs_KENNEDY,cutoffs_ROBERTS,cutoffs_SCALIA,decDate,majVotes,minVotes,winner,words_BREYER,words_GINSBURG,words_KENNEDY,words_ROBERTS,words_SCALIA,sentiment_BREYER,sentiment_GINSBURG,sentiment_KENNEDY,sentiment_ROBERTS,sentiment_SCALIA,petitioner_dk,respondent_dk,caseOrigin_circuit,caseSource_circuit,source_origin_diff,lcDispositionDirection,lcDisposition,issueArea,certReason,jurisdiction,adminAction,adminActionState,BREYER_pet_wc,BREYER_res_wc,BREYER_pet_qc,BREYER_res_qc,BREYER_pet_cc,BREYER_res_cc,GINSBURG_pet_wc,GINSBURG_res_wc,GINSBURG_pet_qc,GINSBURG_res_qc,GINSBURG_pet_cc,GINSBURG_res_cc,KENNEDY_pet_wc,KENNEDY_res_wc,KENNEDY_pet_qc,KENNEDY_res_qc,KENNEDY_pet_cc,KENNEDY_res_cc,ROBERTS_pet_wc,ROBERTS_res_wc,ROBERTS_pet_qc,ROBERTS_res_qc,ROBERTS_pet_cc,ROBERTS_res_cc,SCALIA_pet_wc,SCALIA_res_wc,SCALIA_pet_qc,SCALIA_res_qc,SCALIA_pet_cc,SCALIA_res_cc,neuralegal_resp,neuralegal_pet,BREYER_pet_questions,BREYER_res_questions,BREYER_question_diff,BREYER_avg_words_pet,BREYER_avg_words_res,BREYER_avg_words_diff,BREYER_wc_ratio_pet,BREYER_wc_ratio_res,BREYER_wc_ratio_diff,BREYER_cc_ratio_pet,BREYER_cc_ratio_res,BREYER_cc_ratio_diff,BREYER_qc_ratio_pet,BREYER_qc_ratio_res,BREYER_qc_ratio_diff,GINSBURG_pet_questions,GINSBURG_res_questions,GINSBURG_question_diff,GINSBURG_avg_words_pet,GINSBURG_avg_words_res,GINSBURG_avg_words_diff,GINSBURG_wc_ratio_pet,GINSBURG_wc_ratio_res,GINSBURG_wc_ratio_diff,GINSBURG_cc_ratio_pet,GINSBURG_cc_ratio_res,GINSBURG_cc_ratio_diff,GINSBURG_qc_ratio_pet,GINSBURG_qc_ratio_res,GINSBURG_qc_ratio_diff,KENNEDY_pet_questions,KENNEDY_res_questions,KENNEDY_question_diff,KENNEDY_avg_words_pet,KENNEDY_avg_words_res,KENNEDY_avg_words_diff,KENNEDY_wc_ratio_pet,KENNEDY_wc_ratio_res,KENNEDY_wc_ratio_diff,KENNEDY_cc_ratio_pet,KENNEDY_cc_ratio_res,KENNEDY_cc_ratio_diff,KENNEDY_qc_ratio_pet,KENNEDY_qc_ratio_res,KENNEDY_qc_ratio_diff,ROBERTS_pet_questions,ROBERTS_res_questions,ROBERTS_question_diff,ROBERTS_avg_words_pet,ROBERTS_avg_words_res,ROBERTS_avg_words_diff,ROBERTS_wc_ratio_pet,ROBERTS_wc_ratio_res,ROBERTS_wc_ratio_diff,ROBERTS_cc_ratio_pet,ROBERTS_cc_ratio_res,ROBERTS_cc_ratio_diff,ROBERTS_qc_ratio_pet,ROBERTS_qc_ratio_res,ROBERTS_qc_ratio_diff,SCALIA_pet_questions,SCALIA_res_questions,SCALIA_question_diff,SCALIA_avg_words_pet,SCALIA_avg_words_res,SCALIA_avg_words_diff,SCALIA_wc_ratio_pet,SCALIA_wc_ratio_res,SCALIA_wc_ratio_diff,SCALIA_cc_ratio_pet,SCALIA_cc_ratio_res,SCALIA_cc_ratio_diff,SCALIA_qc_ratio_pet,SCALIA_qc_ratio_res,SCALIA_qc_ratio_diff
09-115X,1,12/8/2010,12,2010,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA et al. PETITIONERS v. MICHAEL B. WHITING ET AL,-19,0.538461538,0.333333333,-0.333333333,-0.777777778,-0.6,5/26/2011,5.0,3.0,0.0,1,1,0,-1,-1,-0.227184959,-0.220535714,0.09,-0.33262987,0.026809729,0.0,0.0,9.0,9.0,1,1.0,2.0,10,12.0,1,0,0,116,1214,2,21,9,78,24,170,1,5,3,12,162,126,3,1,10,6,439,94,6,3,24,6,838,266,21,8,63,14,0.011,0.723,0.222222222222,0.269230769231,0,12.8888888889,15.5641025641,-1,0.0872180451128,0.912781954887,-1,0.103448275862,0.896551724138,-1,0.0869565217391,0.913043478261,-1,0.333333333333,0.416666666667,0,8.0,14.1666666667,-1,0.123711340206,0.876288659794,-1,0.2,0.8,-1,0.166666666667,0.833333333333,-1,0.3,0.166666666667,0,16.2,21.0,-1,0.5625,0.4375,0,0.625,0.375,1,0.75,0.25,1,0.25,0.5,-1,18.2916666667,15.6666666667,1,0.823639774859,0.176360225141,1,0.8,0.2,1,0.666666666667,0.333333333333,1,0.333333333333,0.571428571429,-1,13.3015873016,19.0,-1,0.759057971014,0.240942028986,1,0.818181818182,0.181818181818,1,0.724137931034,0.275862068966,1
09-1156,-1,1/10/2011,1,2011,MATRIXX INITIATIVES INC. et al. PETITIONERS v. JAMES SIRACUSANO et al.,-15,-0.529411765,-0.5,0.0,0.333333333,-0.111111111,3/22/2011,9.0,0.0,0.0,-1,-1,0,1,0,-0.019698199,0.069001492,0.0,-0.0089784,0.211263228,1.0,0.0,9.0,9.0,1,2.0,4.0,8,12.0,1,0,0,748,425,13,5,49,13,353,90,6,1,19,4,84,73,2,2,6,3,242,568,0,4,13,31,260,356,6,9,22,18,0.657,0.712,0.265306122449,0.384615384615,0,15.2653061224,32.6923076923,-1,0.63768115942,0.36231884058,1,0.790322580645,0.209677419355,1,0.722222222222,0.277777777778,1,0.315789473684,0.25,0,18.5789473684,22.5,-1,0.79683972912,0.20316027088,1,0.826086956522,0.173913043478,1,0.857142857143,0.142857142857,1,0.333333333333,0.666666666667,-1,14.0,24.3333333333,-1,0.535031847134,0.464968152866,0,0.666666666667,0.333333333333,1,0.5,0.5,0,0.0,0.129032258065,0,18.6153846154,18.3225806452,1,0.298765432099,0.701234567901,-1,0.295454545455,0.704545454545,-1,0.0,1.0,-1,0.272727272727,0.5,-1,11.8181818182,19.7777777778,-1,0.422077922078,0.577922077922,0,0.55,0.45,0,0.4,0.6,0
09-1159,1,2/28/2011,2,2011,BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY PETITIONER v. ROCHE MOLECULAR SYSTEMS INC. et al.,11,1.0,0.333333333,-1.0,0.75,-0.142857143,6/6/2011,7.0,2.0,0.0,1,0,-1,1,-1,-0.110388869,0.056628788,0.2,-0.159474092,0.085592612,0.0,1.0,9.0,13.0,0,1.0,5.0,8,12.0,1,0,0,0,920,0,7,1,45,269,250,2,5,11,12,143,0,3,0,5,1,232,525,3,6,10,22,308,98,5,3,21,9,0.396,0.981,0.0,0.155555555556,0,0.0,20.4444444444,-1,0.0,1.0,-1,0.0217391304348,0.978260869565,-1,0.0,1.0,-1,0.181818181818,0.416666666667,-1,24.4545454545,20.8333333333,1,0.518304431599,0.481695568401,0,0.478260869565,0.521739130435,0,0.285714285714,0.714285714286,-1,0.6,0.0,1,28.6,0.0,1,1.0,0.0,1,0.833333333333,0.166666666667,1,1.0,0.0,1,0.3,0.272727272727,0,23.2,23.8636363636,-1,0.306472919419,0.693527080581,-1,0.3125,0.6875,-1,0.333333333333,0.666666666667,-1,0.238095238095,0.333333333333,0,14.6666666667,10.8888888889,1,0.758620689655,0.241379310345,1,0.7,0.3,1,0.625,0.375,1
09-1163,0,12/1/2010,12,2010,GLEN SCOTT MILNER PETITIONER v. DEPARTMENT OF THE NAVY,33,-0.25,0.333333333,1.0,1.0,0.2,3/7/2011,8.0,1.0,1.0,-1,0,1,1,-1,-0.123376623,0.093228022,0.182738095,0.194130952,-0.137443609,14.0,2.0,9.0,9.0,1,1.0,2.0,5,2.0,1,0,0,733,208,10,6,47,19,227,150,0,2,10,10,57,114,0,5,2,7,50,402,0,12,2,32,223,67,3,1,11,5,0.229,0.605,0.212765957447,0.315789473684,0,15.5957446809,10.9473684211,1,0.778958554729,0.221041445271,1,0.712121212121,0.287878787879,1,0.625,0.375,1,0.0,0.2,0,22.7,15.0,1,0.602122015915,0.397877984085,1,0.5,0.5,0,0.0,1.0,-1,0.0,0.714285714286,-1,28.5,16.2857142857,1,0.333333333333,0.666666666667,-1,0.222222222222,0.777777777778,-1,0.0,1.0,-1,0.0,0.375,-1,25.0,12.5625,1,0.110619469027,0.889380530973,-1,0.0588235294118,0.941176470588,-1,0.0,1.0,-1,0.272727272727,0.2,0,20.2727272727,13.4,1,0.768965517241,0.231034482759,1,0.6875,0.3125,1,0.75,0.25,1
09-1205,0,1/18/2011,1,2011,KEITH SMITH et al. PETITIONERS v. BAYER CORPORATION,1,-1.0,0.0,-1.0,0.0,1.0,6/16/2011,9.0,0.0,1.0,-1,1,1,0,1,-0.053125,-0.127448593,0.125,-0.12957043,-0.006043956,14.0,1.0,8.0,8.0,1,2.0,2.0,10,2.0,1,0,0,299,0,9,0,14,1,277,423,6,3,18,16,16,52,1,2,1,3,187,143,4,0,7,10,56,180,2,2,2,12,0.141,0.784,0.642857142857,0.0,1,21.3571428571,0.0,1,1.0,0.0,1,0.933333333333,0.0666666666667,1,1.0,0.0,1,0.333333333333,0.1875,0,15.3888888889,26.4375,-1,0.395714285714,0.604285714286,-1,0.529411764706,0.470588235294,0,0.666666666667,0.333333333333,1,1.0,0.666666666667,1,16.0,17.3333333333,-1,0.235294117647,0.764705882353,-1,0.25,0.75,-1,0.333333333333,0.666666666667,-1,0.571428571429,0.0,1,26.7142857143,14.3,1,0.566666666667,0.433333333333,0,0.411764705882,0.588235294118,0,1.0,0.0,1,1.0,0.166666666667,1,28.0,15.0,1,0.237288135593,0.762711864407,-1,0.142857142857,0.857142857143,-1,0.5,0.5,0
09-1233,0,11/30/2010,11,2010,EDMUND G. BROWN JR. GOVERNOR OF CALIFORNIA et al. APPELLANTS v. MARCIANO PLATA et al.,7,-0.818181818,-0.75,0.076923077,1.0,1.0,5/23/2011,5.0,4.0,0.0,-1,-1,0,1,1,-0.018415917,-0.142847417,-0.171851938,-0.186770699,-0.170643939,0.0,3.0,9.0,9.0,1,2.0,2.0,1,1.0,2,0,0,671,352,12,5,45,25,786,99,10,3,44,7,297,365,1,3,17,25,65,774,1,10,5,49,4,113,0,6,1,12,0.936,0.517,0.266666666667,0.2,0,14.9111111111,14.08,1,0.655913978495,0.344086021505,1,0.642857142857,0.357142857143,1,0.705882352941,0.294117647059,1,0.227272727273,0.428571428571,-1,17.8636363636,14.1428571429,1,0.88813559322,0.11186440678,1,0.862745098039,0.137254901961,1,0.769230769231,0.230769230769,1,0.0588235294118,0.12,0,17.4705882353,14.6,1,0.448640483384,0.551359516616,0,0.404761904762,0.595238095238,0,0.25,0.75,-1,0.2,0.204081632653,0,13.0,15.7959183673,-1,0.07747318236,0.92252681764,-1,0.0925925925926,0.907407407407,-1,0.0909090909091,0.909090909091,-1,0.0,0.5,-1,4.0,9.41666666667,-1,0.034188034188,0.965811965812,-1,0.0769230769231,0.923076923077,-1,0.0,1.0,-1
09-1272,1,1/12/2011,1,2011,KENTUCKY PETITIONER v. HOLLIS DESHAUN KING,-21,-0.5,-1.0,-1.0,1.0,-0.6,5/16/2011,8.0,1.0,1.0,0,-1,-1,1,1,-0.121536499,0.255856481,-0.194047619,-0.056686273,0.043708547,5.0,3.0,0.0,0.0,1,2.0,1.5,1,12.0,1,0,0,303,315,4,4,25,17,485,52,10,2,24,2,160,53,8,0,19,2,279,601,5,6,21,33,451,600,21,11,43,27,0.109,0.959,0.16,0.235294117647,0,12.12,18.5294117647,-1,0.490291262136,0.509708737864,0,0.595238095238,0.404761904762,0,0.5,0.5,0,0.416666666667,1.0,-1,20.2083333333,26.0,-1,0.903165735568,0.096834264432,1,0.923076923077,0.0769230769231,1,0.833333333333,0.166666666667,1,0.421052631579,0.0,1,8.42105263158,26.5,-1,0.75117370892,0.24882629108,1,0.904761904762,0.0952380952381,1,1.0,0.0,1,0.238095238095,0.181818181818,0,13.2857142857,18.2121212121,-1,0.317045454545,0.682954545455,-1,0.388888888889,0.611111111111,-1,0.454545454545,0.545454545455,0,0.488372093023,0.407407407407,0,10.488372093,22.2222222222,-1,0.429115128449,0.570884871551,0,0.614285714286,0.385714285714,1,0.65625,0.34375,1
09-1273,1,1/19/2011,1,2011,ASTRA USA INC. et al. PETITIONERS v. SANTA CLARA COUNTY CALIFORNIA,-14,-0.733333333,0.142857143,-1.0,0.2,-0.2,3/29/2011,8.0,0.0,1.0,-1,1,0,0,1,0.020265152,-0.173712399,0.0,-0.04247148,-0.034589947,1.0,4.0,9.0,9.0,1,2.0,1.5,9,12.0,1,0,0,456,232,16,4,38,12,157,456,7,5,11,29,72,83,1,0,4,6,302,331,10,4,19,12,99,319,6,1,10,17,0.091,0.845,0.421052631579,0.333333333333,0,12.0,19.3333333333,-1,0.662790697674,0.337209302326,1,0.76,0.24,1,0.8,0.2,1,0.636363636364,0.172413793103,1,14.2727272727,15.724137931,-1,0.256117455139,0.743882544861,-1,0.275,0.725,-1,0.583333333333,0.416666666667,0,0.25,0.0,1,18.0,13.8333333333,1,0.464516129032,0.535483870968,0,0.4,0.6,0,1.0,0.0,1,0.526315789474,0.333333333333,0,15.8947368421,27.5833333333,-1,0.477093206951,0.522906793049,0,0.612903225806,0.387096774194,1,0.714285714286,0.285714285714,1,0.6,0.0588235294118,1,9.9,18.7647058824,-1,0.236842105263,0.763157894737,-1,0.37037037037,0.62962962963,-1,0.857142857143,0.142857142857,1
09-1279,0,1/19/2011,1,2011,FEDERAL COMMUNICATIONS COMMISSION et al. PETITIONERS v. AT&T INC. et al.,-9,1.0,-0.142857143,-1.0,-0.333333333,-0.25,3/1/2011,8.0,0.0,1.0,1,1,-1,0,1,-0.14784127,0.098888889,0.221428571,-0.047127976,0.255850403,2.0,1.0,3.0,3.0,1,1.0,1.0,5,12.0,1,1,0,0,352,0,7,1,16,151,232,3,4,12,11,57,0,3,0,5,1,127,182,3,3,11,8,210,438,3,8,16,27,0.346,0.845,0.0,0.4375,-1,0.0,22.0,-1,0.0,1.0,-1,0.0588235294118,0.941176470588,-1,0.0,1.0,-1,0.25,0.363636363636,0,12.5833333333,21.0909090909,-1,0.394255874674,0.605744125326,-1,0.521739130435,0.478260869565,0,0.428571428571,0.571428571429,0,0.6,0.0,1,11.4,0.0,1,1.0,0.0,1,0.833333333333,0.166666666667,1,1.0,0.0,1,0.272727272727,0.375,0,11.5454545455,22.75,-1,0.411003236246,0.588996763754,0,0.578947368421,0.421052631579,0,0.5,0.5,0,0.1875,0.296296296296,0,13.125,16.2222222222,-1,0.324074074074,0.675925925926,-1,0.372093023256,0.627906976744,-1,0.272727272727,0.727272727273,-1
09-1298,0,1/18/2011,1,2011,GENERAL DYNAMICS CORPORATION PETITIONER v. UNITED STATES,10,-1.0,-1.0,1.0,1.0,0.368421053,5/23/2011,9.0,0.0,1.0,-1,-1,1,1,1,-0.053336583,-0.023378759,-0.033363858,-0.056746032,-0.119725529,0.0,2.0,13.0,13.0,1,2.0,2.0,5,11.0,1,0,0,399,185,4,4,23,8,349,155,2,3,19,8,0,306,0,1,1,15,59,333,0,12,2,26,317,546,5,5,24,31,0.154,0.527,0.173913043478,0.5,-1,17.347826087,23.125,-1,0.683219178082,0.316780821918,1,0.741935483871,0.258064516129,1,0.5,0.5,0,0.105263157895,0.375,-1,18.3684210526,19.375,-1,0.69246031746,0.30753968254,1,0.703703703704,0.296296296296,1,0.4,0.6,0,0.0,0.0666666666667,0,0.0,20.4,-1,0.0,1.0,-1,0.0625,0.9375,-1,0.0,1.0,-1,0.0,0.461538461538,-1,29.5,12.8076923077,1,0.150510204082,0.849489795918,-1,0.0714285714286,0.928571428571,-1,0.0,1.0,-1,0.208333333333,0.161290322581,0,13.2083333333,17.6129032258,-1,0.367323290846,0.632676709154,-1,0.436363636364,0.563636363636,0,0.5,0.5,0
09-1343,0,1/11/2011,1,2011,J. MCINTYRE MACHINERY LTD. PETITIONER v. ROBERT NICASTRO INDIVIDUALLY AND AS ADMINISTRATOR OF THE ESTATE OF ROSEANNE NICASTRO,30,0.818181818,-0.2,0.2,1.0,0.2,6/27/2011,6.0,3.0,1.0,1,-1,0,1,1,0.165219335,0.131440516,-0.11844136,0.18635727,0.076133658,1.0,0.0,0.0,0.0,1,1.0,2.0,4,12.0,1,0,0,351,1011,5,21,21,75,742,157,17,5,42,15,264,336,3,6,16,19,65,925,0,34,3,79,236,353,6,11,20,28,0.177,0.88,0.238095238095,0.28,0,16.7142857143,13.48,1,0.257709251101,0.742290748899,-1,0.21875,0.78125,-1,0.192307692308,0.807692307692,-1,0.404761904762,0.333333333333,0,17.6666666667,10.4666666667,1,0.825361512792,0.174638487208,1,0.736842105263,0.263157894737,1,0.772727272727,0.227272727273,1,0.1875,0.315789473684,0,16.5,17.6842105263,-1,0.44,0.56,0,0.457142857143,0.542857142857,0,0.333333333333,0.666666666667,-1,0.0,0.430379746835,-1,21.6666666667,11.7088607595,1,0.0656565656566,0.934343434343,-1,0.0365853658537,0.963414634146,-1,0.0,1.0,-1,0.3,0.392857142857,0,11.8,12.6071428571,-1,0.400679117148,0.599320882852,0,0.416666666667,0.583333333333,0,0.352941176471,0.647058823529,-1
09-1403,1,4/25/2011,4,2011,ERICA P. JOHN FUND INC. FKA ARCHDIOCESE OF MILWAUKEE SUPPORTING FUND INC. PETITIONER v. HALLIBURTON CO. et al.,-4,1.0,0.0,0.0,-1.0,-1.0,6/6/2011,9.0,0.0,1.0,1,1,-1,0,-1,-0.020238095,-0.113782051,-0.172916667,0.314339827,-0.025211059,0.0,0.0,5.0,5.0,1,1.0,2.0,9,2.0,1,0,0,0,448,0,8,1,28,74,203,2,2,4,11,71,0,4,0,5,1,161,181,6,3,9,9,481,141,5,1,23,6,0.335,0.892,0.0,0.285714285714,-1,0.0,16.0,-1,0.0,1.0,-1,0.0344827586207,0.965517241379,-1,0.0,1.0,-1,0.5,0.181818181818,1,18.5,18.4545454545,0,0.26714801444,0.73285198556,-1,0.266666666667,0.733333333333,-1,0.5,0.5,0,0.8,0.0,1,14.2,0.0,1,1.0,0.0,1,0.833333333333,0.166666666667,1,1.0,0.0,1,0.666666666667,0.333333333333,1,17.8888888889,20.1111111111,-1,0.470760233918,0.529239766082,0,0.5,0.5,0,0.666666666667,0.333333333333,1,0.217391304348,0.166666666667,0,20.9130434783,23.5,-1,0.773311897106,0.226688102894,1,0.793103448276,0.206896551724,1,0.833333333333,0.166666666667,1
09-1454,1,3/1/2011,3,2011,BOB CAMRETA PETITIONER v. SARAH GREENE PERSONALLY AND AS NEXT FRIEND OF S. G. A MINOR AND K. G. A MINOR,18,1.0,0.333333333,0.5,0.333333333,0.6,5/26/2011,7.0,2.0,1.0,1,0,-1,0,1,-0.042307692,0.058255745,-0.103720238,0.063143887,-0.011148793,11.0,0.0,9.0,9.0,1,1.0,2.0,9,12.0,1,0,0,0,222,0,12,1,22,402,344,14,4,23,19,262,122,9,2,19,10,373,340,9,14,20,28,303,681,16,12,23,47,0.326,1.0,0.0,0.545454545455,-1,0.0,10.0909090909,-1,0.0,1.0,-1,0.0434782608696,0.95652173913,-1,0.0,1.0,-1,0.608695652174,0.210526315789,1,17.4782608696,18.1052631579,-1,0.538873994638,0.461126005362,0,0.547619047619,0.452380952381,0,0.777777777778,0.222222222222,1,0.473684210526,0.2,1,13.7894736842,12.2,1,0.682291666667,0.317708333333,1,0.655172413793,0.344827586207,1,0.818181818182,0.181818181818,1,0.45,0.5,0,18.65,12.1428571429,1,0.523141654979,0.476858345021,0,0.416666666667,0.583333333333,0,0.391304347826,0.608695652174,-1,0.695652173913,0.255319148936,1,13.1739130435,14.4893617021,-1,0.307926829268,0.692073170732,-1,0.328571428571,0.671428571429,-1,0.571428571429,0.428571428571,0
09-1476,1,3/22/2011,3,2011,BOROUGH OF DURYEA PENNSYLVANIA et al. PETITIONERS v. CHARLES J GUARNIERI,10,0.0,0.6,1.0,1.0,0.0,6/20/2011,9.0,0.0,1.0,0,0,1,1,-1,0.0,0.093073593,0.349642857,0.11461301,-0.010855973,4.0,11.0,3.0,3.0,1,2.0,2.0,3,2.0,1,0,0,0,0,0,0,1,1,201,298,6,5,10,16,31,310,1,7,1,16,74,327,0,4,3,15,608,194,13,5,33,13,0.202,0.903,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.5,0.5,0,0.0,0.0,0,0.6,0.3125,1,20.1,18.625,1,0.402805611222,0.597194388778,0,0.384615384615,0.615384615385,-1,0.545454545455,0.454545454545,0,1.0,0.4375,1,31.0,19.375,1,0.0909090909091,0.909090909091,-1,0.0588235294118,0.941176470588,-1,0.125,0.875,-1,0.0,0.266666666667,-1,24.6666666667,21.8,1,0.184538653367,0.815461346633,-1,0.166666666667,0.833333333333,-1,0.0,1.0,-1,0.393939393939,0.384615384615,0,18.4242424242,14.9230769231,1,0.758104738155,0.241895261845,1,0.717391304348,0.282608695652,1,0.722222222222,0.277777777778,1
09-1498,0,2/22/2011,2,2011,UNITED STATES PETITIONER v. JASON LOUIS TINKLENBERG,-18,-0.75,0.333333333,-1.0,-0.5,-0.428571429,5/26/2011,8.0,0.0,0.0,-1,0,-1,-1,-1,-0.014278335,-0.092619048,0.069358974,0.212061688,0.110491071,2.0,3.0,6.0,6.0,1,2.0,1.5,1,11.0,1,0,0,308,122,9,0,20,2,195,207,2,9,5,12,149,16,2,0,6,2,210,131,8,1,21,3,224,132,3,5,14,10,0.016,0.881,0.45,0.0,1,15.4,61.0,-1,0.716279069767,0.283720930233,1,0.909090909091,0.0909090909091,1,1.0,0.0,1,0.4,0.75,-1,39.0,17.25,1,0.485074626866,0.514925373134,0,0.294117647059,0.705882352941,-1,0.181818181818,0.818181818182,-1,0.333333333333,0.0,1,24.8333333333,8.0,1,0.90303030303,0.0969696969697,1,0.75,0.25,1,1.0,0.0,1,0.380952380952,0.333333333333,0,10.0,43.6666666667,-1,0.615835777126,0.384164222874,1,0.875,0.125,1,0.888888888889,0.111111111111,1,0.214285714286,0.5,-1,16.0,13.2,1,0.629213483146,0.370786516854,1,0.583333333333,0.416666666667,0,0.375,0.625,-1
09-150X,1,10/5/2010,10,2010,MICHIGAN PETITIONER v. RICHARD PERRY BRYANT,1,0.692307692,-0.142857143,0.0,0.111111111,-0.481481481,2/28/2011,6.0,2.0,1.0,1,-1,0,-1,-1,-0.084212963,-0.322692308,-0.210010823,-0.20174062,0.04028305,5.0,3.0,0.0,0.0,1,2.0,1.5,1,11.0,1,0,0,183,1059,5,12,12,53,462,194,13,4,27,14,269,278,8,6,16,22,392,271,6,4,21,17,928,438,22,5,60,32,0.196,0.903,0.416666666667,0.22641509434,0,15.25,19.9811320755,-1,0.147342995169,0.852657004831,-1,0.184615384615,0.815384615385,-1,0.294117647059,0.705882352941,-1,0.481481481481,0.285714285714,0,17.1111111111,13.8571428571,1,0.704268292683,0.295731707317,1,0.658536585366,0.341463414634,1,0.764705882353,0.235294117647,1,0.5,0.272727272727,1,16.8125,12.6363636364,1,0.491773308958,0.508226691042,0,0.421052631579,0.578947368421,0,0.571428571429,0.428571428571,0,0.285714285714,0.235294117647,0,18.6666666667,15.9411764706,1,0.59125188537,0.40874811463,0,0.552631578947,0.447368421053,0,0.6,0.4,0,0.366666666667,0.15625,1,15.4666666667,13.6875,1,0.679355783309,0.320644216691,1,0.652173913043,0.347826086957,1,0.814814814815,0.185185185185,1
09-152X,-1,10/12/2010,10,2010,RUSSEL BRUESEWITZ et al. PETITIONERS v. WYETH LLC FKA WYETH INC. FKA WYETH LABORATORIES et al.,16,0.666666667,0.555555556,-0.333333333,0.2,-1.0,2/22/2011,6.0,2.0,0.0,1,1,0,-1,-1,0.007227072,0.116007287,0.266326531,-0.048954468,0.10687004,0.0,1.0,13.0,3.0,0,1.0,2.0,10,12.0,1,0,0,285,600,3,14,16,34,186,439,6,2,9,20,127,119,2,4,6,9,506,258,7,2,29,17,245,0,3,0,15,1,0.36,0.79,0.1875,0.411764705882,-1,17.8125,17.6470588235,0,0.322033898305,0.677966101695,-1,0.32,0.68,-1,0.176470588235,0.823529411765,-1,0.666666666667,0.1,1,20.6666666667,21.95,-1,0.2976,0.7024,-1,0.310344827586,0.689655172414,-1,0.75,0.25,1,0.333333333333,0.444444444444,0,21.1666666667,13.2222222222,1,0.516260162602,0.483739837398,0,0.4,0.6,0,0.333333333333,0.666666666667,-1,0.241379310345,0.117647058824,0,17.4482758621,15.1764705882,1,0.662303664921,0.337696335079,1,0.630434782609,0.369565217391,1,0.777777777778,0.222222222222,1,0.2,0.0,0,16.3333333333,0.0,1,1.0,0.0,1,0.9375,0.0625,1,1.0,0.0,1
09-1533,0,2/28/2011,2,2011,FRANTZ DEPIERRE PETITIONER v. UNITED STATES,-5,0.777777778,-1.0,-1.0,-1.0,-0.777777778,6/9/2011,9.0,0.0,0.0,1,-1,-1,-1,-1,-0.418743158,-0.235396825,0.133333333,-0.160185185,-0.351160173,3.0,2.0,1.0,1.0,1,1.0,2.0,1,2.0,1,0,0,103,625,1,10,7,42,172,106,7,4,15,8,107,0,1,0,8,1,307,17,2,0,13,1,348,216,6,4,27,16,0.274,0.479,0.142857142857,0.238095238095,0,14.7142857143,14.880952381,0,0.141483516484,0.858516483516,-1,0.142857142857,0.857142857143,-1,0.0909090909091,0.909090909091,-1,0.466666666667,0.5,0,11.4666666667,13.25,-1,0.618705035971,0.381294964029,1,0.652173913043,0.347826086957,1,0.636363636364,0.363636363636,1,0.125,0.0,0,13.375,0.0,1,1.0,0.0,1,0.888888888889,0.111111111111,1,1.0,0.0,1,0.153846153846,0.0,0,23.6153846154,17.0,1,0.947530864198,0.0524691358025,1,0.928571428571,0.0714285714286,1,1.0,0.0,1,0.222222222222,0.25,0,12.8888888889,13.5,-1,0.617021276596,0.382978723404,1,0.627906976744,0.372093023256,1,0.6,0.4,0
09-158X,0,3/24/2010,3,2010,BILLY JOE MAGWOOD v. TONY PATTERSON WARDEN et al.,-9,0.142857143,0.0,-0.428571429,-0.333333333,-0.5,6/24/2010,5.0,4.0,1.0,1,-1,-1,-1,-1,-0.193795203,-0.071708545,-0.112832951,0.046074718,-0.146848739,3.0,5.0,11.0,11.0,1,1.0,1.5,1,11.0,1,0,0,325,802,3,7,14,61,346,98,2,0,15,7,221,109,5,5,12,8,286,111,2,1,11,9,304,122,3,4,24,9,0.121,0.621,0.214285714286,0.114754098361,0,23.2142857143,13.1475409836,1,0.288376220053,0.711623779947,-1,0.186666666667,0.813333333333,-1,0.3,0.7,-1,0.133333333333,0.0,0,23.0666666667,14.0,1,0.779279279279,0.220720720721,1,0.681818181818,0.318181818182,1,1.0,0.0,1,0.416666666667,0.625,-1,18.4166666667,13.625,1,0.669696969697,0.330303030303,1,0.6,0.4,0,0.5,0.5,0,0.181818181818,0.111111111111,0,26.0,12.3333333333,1,0.72040302267,0.27959697733,1,0.55,0.45,0,0.666666666667,0.333333333333,1,0.125,0.444444444444,-1,12.6666666667,13.5555555556,-1,0.713615023474,0.286384976526,1,0.727272727273,0.272727272727,1,0.428571428571,0.571428571429,0
